artist_name,date,popularity_score,followers,monthly_listeners,youtube_subscribers,youtube_total_views,youtube_video_count
ARANDA,2025-09-16,0,177,643,0,0,0,1164,33
Casa 24Beats,2025-09-16,0,0,N/A,12,4011,94,0,0
Discord Server,2025-09-16,0,59,20,0,0,0,0,0
Casa 24,2025-09-17,4,585,1800,624,29193,94,1688,577
Chef Lino,2025-09-17,3,263,307,15,235,5,1341,5
PYRO,2025-09-17,1,248,108,0,0,0,0,0
bo.wlie,2025-09-17,0,175,16,94,13817,71,0,0
Mango Blade,2025-09-17,1,180,138,0,0,0,620,9
ZACKO,2025-09-17,0,7,0,0,0,0,501,21
ARANDA,2025-09-17,0,177,644,0,0,0,1163,33
Casa 24Beats,2025-09-17,0,0,N/A,12,4124,96,0,0
Discord Server,2025-09-17,0,59,19,0,0,0,0,0
Casa 24,2025-09-18,5,585,1800,624,29195,94,1687,577
Chef Lino,2025-09-18,4,263,304,15,235,5,1341,5
PYRO,2025-09-18,1,248,110,0,0,0,0,0
bo.wlie,2025-09-18,0,175,14,94,13817,71,0,0
Mango Blade,2025-09-18,1,180,138,0,0,0,620,9
ZACKO,2025-09-18,0,7,0,0,0,0,501,21
ARANDA,2025-09-18,0,177,644,0,0,0,1163,33
Casa 24Beats,2025-09-18,0,0,N/A,12,4184,98,0,0
Discord Server,2025-09-18,0,59,20,0,0,0,0,0
Casa 24,2025-09-19,5,585,1800,624,29202,94,1689,577
Chef Lino,2025-09-19,4,263,305,15,235,5,1341,5
PYRO,2025-09-19,1,248,109,0,0,0,0,0
bo.wlie,2025-09-19,0,175,12,94,13817,71,0,0
Mango Blade,2025-09-19,1,180,135,0,0,0,621,9
ZACKO,2025-09-19,0,7,0,0,0,0,501,21
ARANDA,2025-09-19,0,177,644,0,0,0,1163,33
Casa 24Beats,2025-09-19,0,0,N/A,12,4204,100,0,0
Discord Server,2025-09-19,0,59,20,0,0,0,0,0
Casa 24,2025-09-20,5,585,1800,624,29203,94,1689,577
Chef Lino,2025-09-20,4,263,305,15,235,5,1342,5
PYRO,2025-09-20,1,249,105,0,0,0,0,0
bo.wlie,2025-09-20,0,175,13,94,13818,71,0,0
Mango Blade,2025-09-20,1,180,131,0,0,0,622,9
ZACKO,2025-09-20,0,7,0,0,0,0,501,21
ARANDA,2025-09-20,0,177,644,0,0,0,1164,33
Casa 24Beats,2025-09-20,0,0,N/A,12,4281,102,0,0
Discord Server,2025-09-20,0,59,13,0,0,0,0,0
Casa 24,2025-09-21,5,585,1800,624,29207,94,1691,577
Chef Lino,2025-09-21,4,263,302,15,235,5,1342,5
PYRO,2025-09-21,1,249,106,0,0,0,0,0
bo.wlie,2025-09-21,0,175,11,94,13819,71,0,0
Mango Blade,2025-09-21,1,180,133,0,0,0,622,9
ZACKO,2025-09-21,0,7,0,0,0,0,503,21
ARANDA,2025-09-21,0,177,644,0,0,0,1164,33
Casa 24Beats,2025-09-21,0,0,N/A,12,4354,102,0,0
Discord Server,2025-09-21,0,59,18,0,0,0,0,0
Casa 24,2025-09-22,5,356,1800,624,29215,94,1690,577
Chef Lino,2025-09-22,4,263,298,15,235,5,1341,5
PYRO,2025-09-22,1,160,105,0,0,0,0,0
bo.wlie,2025-09-22,0,98,12,94,13819,71,0,0
Mango Blade,2025-09-22,1,132,128,0,0,0,622,9
ZACKO,2025-09-22,0,7,0,0,0,0,503,21
ARANDA,2025-09-22,0,104,644,0,0,0,1164,33
Casa 24Beats,2025-09-22,0,0,N/A,12,4395,102,0,0
Discord Server,2025-09-22,0,59,19,0,0,0,0,0
Casa 24,2025-09-23,5,356,1800,624,29215,94,1689,577
Chef Lino,2025-09-23,4,263,295,15,236,5,1339,5
PYRO,2025-09-23,1,160,102,0,0,0,0,0
bo.wlie,2025-09-23,0,98,11,94,13819,71,0,0
Mango Blade,2025-09-23,1,132,127,0,0,0,622,9
ZACKO,2025-09-23,0,7,0,0,0,0,502,21
ARANDA,2025-09-23,0,104,644,0,0,0,1164,33
Casa 24Beats,2025-09-23,0,0,N/A,12,4402,104,0,0
Discord Server,2025-09-23,0,60,22,0,0,0,0,0
Casa 24,2025-09-24,5,356,1800,624,29222,94,1689,577
Chef Lino,2025-09-24,4,263,299,15,236,5,1339,5
PYRO,2025-09-24,1,160,104,0,0,0,0,0
bo.wlie,2025-09-24,0,98,12,94,13821,71,0,0
Mango Blade,2025-09-24,1,132,129,0,0,0,622,9
ZACKO,2025-09-24,0,7,0,0,0,0,502,21
ARANDA,2025-09-24,0,104,645,0,0,0,1164,33
Casa 24Beats,2025-09-24,0,0,N/A,12,4462,106,0,0
Discord Server,2025-09-24,0,62,19,0,0,0,0,0
Casa 24,2025-09-25,5,356,1800,624,29223,94,1689,577
Chef Lino,2025-09-25,4,263,300,15,236,5,1340,5
PYRO,2025-09-25,1,160,103,0,0,0,0,0
bo.wlie,2025-09-25,0,98,12,94,13822,71,0,0
Mango Blade,2025-09-25,1,132,130,0,0,0,623,9
ZACKO,2025-09-25,0,7,0,0,0,0,501,21
ARANDA,2025-09-25,0,104,645,0,0,0,1162,33
Casa 24Beats,2025-09-25,0,0,N/A,12,4487,108,0,0
Discord Server,2025-09-25,0,62,21,0,0,0,0,0
Casa 24,2025-09-26,5,356,1800,624,29244,94,1692,577
Chef Lino,2025-09-26,3,263,296,15,236,5,1340,5
PYRO,2025-09-26,1,160,101,0,0,0,0,0
bo.wlie,2025-09-26,0,98,12,94,13823,71,0,0
Mango Blade,2025-09-26,1,132,128,0,0,0,623,9
ZACKO,2025-09-26,0,7,0,0,0,0,502,21
ARANDA,2025-09-26,0,104,645,0,0,0,1164,33
Casa 24Beats,2025-09-26,0,0,N/A,12,4492,110,0,0
Discord Server,2025-09-26,0,62,18,0,0,0,0,0
Casa 24,2025-09-27,5,356,1800,624,29253,94,1693,577
Chef Lino,2025-09-27,3,263,306,15,236,5,1340,5
PYRO,2025-09-27,1,160,102,0,0,0,0,0
bo.wlie,2025-09-27,0,98,12,94,13824,71,0,0
Mango Blade,2025-09-27,1,132,129,0,0,0,623,9
ZACKO,2025-09-27,0,7,0,0,0,0,502,21
ARANDA,2025-09-27,0,104,647,0,0,0,1168,33
Casa 24Beats,2025-09-27,0,0,N/A,12,4529,112,0,0
Discord Server,2025-09-27,0,62,18,0,0,0,0,0
Casa 24,2025-09-27,5,357,1800,624,29254,94,1695,577
Chef Lino,2025-09-27,4,263,299,15,236,5,1340,5
PYRO,2025-09-27,1,160,103,0,0,0,945,9
bo.wlie,2025-09-27,0,98,13,94,13825,71,0,0
Mango Blade,2025-09-27,1,132,130,0,0,0,623,9
ZACKO,2025-09-27,0,7,0,0,0,0,502,21
ARANDA,2025-09-27,0,105,648,0,0,0,1168,34
Casa 24Beats,2025-09-27,0,0,N/A,12,4637,112,0,0
Discord Server,2025-09-27,0,62,18,0,0,0,0,0
Casa 24,2025-09-28,5,357,1800,624,29262,94,1695,577
Chef Lino,2025-09-28,4,263,299,15,236,5,1340,5
PYRO,2025-09-28,1,160,103,0,0,0,945,9
bo.wlie,2025-09-28,0,98,13,94,13827,71,0,0
Mango Blade,2025-09-28,1,132,130,0,0,0,623,9
ZACKO,2025-09-28,0,7,0,0,0,0,502,21
ARANDA,2025-09-28,0,105,648,0,0,0,1169,34
Casa 24Beats,2025-09-28,0,0,N/A,12,4663,112,0,0
Discord Server,2025-09-28,0,61,16,0,0,0,0,0
Casa 24,2025-09-29,5,357,1400,624,29263,94,1698,577
Chef Lino,2025-09-29,3,263,292,15,236,5,1337,5
PYRO,2025-09-29,1,160,103,0,0,0,945,9
bo.wlie,2025-09-29,0,98,14,94,13827,71,0,0
Mango Blade,2025-09-29,1,132,126,0,0,0,624,9
ZACKO,2025-09-29,0,7,0,0,0,0,503,21
ARANDA,2025-09-29,0,105,647,0,0,0,1167,34
Casa 24Beats,2025-09-29,0,0,N/A,12,4720,112,0,0
Discord Server,2025-09-29,0,61,17,0,0,0,0,0
Casa 24,2025-09-30,4,357,1400,624,29264,94,1702,578
Chef Lino,2025-09-30,3,263,298,15,236,5,1335,5
PYRO,2025-09-30,1,160,99,0,0,0,945,9
bo.wlie,2025-09-30,0,98,14,94,13827,71,0,0
Mango Blade,2025-09-30,1,132,125,0,0,0,624,9
ZACKO,2025-09-30,0,7,0,0,0,0,503,21
ARANDA,2025-09-30,0,105,647,0,0,0,1165,34
Casa 24Beats,2025-09-30,0,0,N/A,13,4740,114,0,0
Discord Server,2025-09-30,0,61,18,0,0,0,0,0
Casa 24,2025-10-01,4,357,1400,624,29266,94,1701,578
Chef Lino,2025-10-01,3,263,298,15,238,5,1333,5
PYRO,2025-10-01,1,160,103,0,0,0,944,9
bo.wlie,2025-10-01,0,98,14,94,13827,71,0,0
Mango Blade,2025-10-01,1,133,126,0,0,0,624,9
ZACKO,2025-10-01,0,7,0,0,0,0,503,21
ARANDA,2025-10-01,0,105,647,0,0,0,1169,34
Casa 24Beats,2025-10-01,0,0,N/A,13,4900,116,0,0
Discord Server,2025-10-01,0,61,18,0,0,0,0,0
Casa 24,2025-10-02,4,357,1400,623,29268,94,1700,578
Chef Lino,2025-10-02,3,263,306,15,238,5,1332,5
PYRO,2025-10-02,1,160,104,0,0,0,944,9
bo.wlie,2025-10-02,0,98,15,94,13827,71,0,0
Mango Blade,2025-10-02,1,133,129,0,0,0,624,9
ZACKO,2025-10-02,0,7,0,0,0,0,503,21
ARANDA,2025-10-02,0,105,648,0,0,0,1167,34
Casa 24Beats,2025-10-02,0,0,N/A,14,4918,118,0,0
Discord Server,2025-10-02,0,61,22,0,0,0,0,0
Casa 24,2025-10-03,4,357,1400,623,29270,94,1701,578
Chef Lino,2025-10-03,3,263,303,15,238,5,1334,5
PYRO,2025-10-03,1,160,106,0,0,0,946,9
bo.wlie,2025-10-03,0,98,14,94,13827,71,0,0
Mango Blade,2025-10-03,1,133,130,0,0,0,624,9
ZACKO,2025-10-03,0,7,0,0,0,0,503,21
ARANDA,2025-10-03,0,105,647,0,0,0,1169,34
Casa 24Beats,2025-10-03,0,0,N/A,14,5036,118,0,0
Discord Server,2025-10-03,0,61,20,0,0,0,0,0
Casa 24,2025-10-04,4,357,901,623,29274,94,1702,578
Chef Lino,2025-10-04,3,263,299,15,238,5,1332,5
PYRO,2025-10-04,1,160,107,0,0,0,946,9
bo.wlie,2025-10-04,0,98,15,94,13828,71,0,0
Mango Blade,2025-10-04,1,133,131,0,0,0,624,9
ZACKO,2025-10-04,0,7,0,0,0,0,507,21
ARANDA,2025-10-04,0,105,647,0,0,0,1171,34
Casa 24Beats,2025-10-04,0,0,N/A,14,5186,122,0,0
Discord Server,2025-10-04,0,61,20,0,0,0,0,0
Casa 24,2025-10-05,4,357,523,623,29275,94,1702,578
Chef Lino,2025-10-05,3,263,292,15,238,5,1332,5
PYRO,2025-10-05,1,160,108,0,0,0,946,9
bo.wlie,2025-10-05,0,98,15,94,13828,71,0,0
Mango Blade,2025-10-05,1,133,126,0,0,0,625,9
ZACKO,2025-10-05,0,7,0,0,0,0,507,21
ARANDA,2025-10-05,0,105,370,0,0,0,1172,34
Casa 24Beats,2025-10-05,0,0,N/A,14,5304,122,0,0
Discord Server,2025-10-05,0,62,18,0,0,0,0,0
Casa 24,2025-10-06,4,357,522,623,29279,94,1703,578
Chef Lino,2025-10-06,3,263,291,15,238,5,1332,5
PYRO,2025-10-06,1,160,109,0,0,0,947,9
bo.wlie,2025-10-06,0,98,13,94,13829,71,0,0
Mango Blade,2025-10-06,1,133,124,0,0,0,625,9
ZACKO,2025-10-06,0,7,0,0,0,0,507,21
ARANDA,2025-10-06,0,105,14,0,0,0,1171,34
Casa 24Beats,2025-10-06,0,0,N/A,14,5360,120,0,0
Discord Server,2025-10-06,0,63,19,0,0,0,0,0
Casa 24,2025-10-07,3,357,519,623,29279,94,1702,578
Chef Lino,2025-10-07,2,263,290,15,238,5,1331,5
PYRO,2025-10-07,1,160,104,0,0,0,947,9
bo.wlie,2025-10-07,0,98,13,94,13829,71,0,0
Mango Blade,2025-10-07,0,133,125,0,0,0,625,9
ZACKO,2025-10-07,0,7,0,0,0,0,506,21
ARANDA,2025-10-07,0,105,14,0,0,0,1171,34
Casa 24Beats,2025-10-07,0,0,N/A,14,5409,124,0,0
Discord Server,2025-10-07,0,63,20,0,0,0,0,0
Casa 24,2025-10-08,3,357,519,623,29279,94,1702,578
Chef Lino,2025-10-08,2,264,294,15,238,5,1330,5
PYRO,2025-10-08,1,160,107,0,0,0,948,9
bo.wlie,2025-10-08,0,98,14,94,13830,71,0,0
Mango Blade,2025-10-08,0,133,119,0,0,0,625,9
ZACKO,2025-10-08,0,7,0,0,0,0,505,21
ARANDA,2025-10-08,0,105,14,0,0,0,1170,34
Casa 24Beats,2025-10-08,0,0,N/A,15,5464,126,0,0
Discord Server,2025-10-08,0,63,18,0,0,0,0,0
Casa 24,2025-10-09,3,357,522,623,29279,94,1703,578
Chef Lino,2025-10-09,2,264,292,15,238,5,1332,5
PYRO,2025-10-09,0,160,110,0,0,0,949,9
bo.wlie,2025-10-09,0,98,14,94,13830,71,0,0
Mango Blade,2025-10-09,0,133,122,0,0,0,626,9
ZACKO,2025-10-09,0,7,0,0,0,0,505,21
ARANDA,2025-10-09,0,105,14,0,0,0,1170,34
Casa 24Beats,2025-10-09,0,0,N/A,16,5566,128,0,0
Discord Server,2025-10-09,0,63,21,0,0,0,0,0
Casa 24,2025-10-10,3,357,527,623,29284,94,1703,578
Chef Lino,2025-10-10,2,264,296,15,238,5,1333,5
PYRO,2025-10-10,0,160,113,0,0,0,951,9
bo.wlie,2025-10-10,0,98,15,94,13830,71,0,0
Mango Blade,2025-10-10,0,133,122,0,0,0,626,9
ZACKO,2025-10-10,0,7,0,0,0,0,504,21
ARANDA,2025-10-10,0,105,15,0,0,0,1171,34
Casa 24Beats,2025-10-10,0,0,N/A,17,5757,130,0,0
Discord Server,2025-10-10,0,63,21,0,0,0,0,0
Casa 24,2025-10-11,3,357,520,623,29288,94,1702,578
Chef Lino,2025-10-11,2,264,292,15,238,5,1332,5
PYRO,2025-10-11,0,160,112,0,0,0,952,9
bo.wlie,2025-10-11,0,98,14,94,13830,71,0,0
Mango Blade,2025-10-11,0,133,118,0,0,0,626,9
ZACKO,2025-10-11,0,7,0,0,0,0,504,21
ARANDA,2025-10-11,0,105,12,0,0,0,1171,34
Casa 24Beats,2025-10-11,0,0,N/A,18,5803,132,0,0
Discord Server,2025-10-11,0,63,20,0,0,0,0,0
Casa 24,2025-10-12,3,343,523,622,29289,94,1702,578
Chef Lino,2025-10-12,2,263,296,15,238,5,1333,5
PYRO,2025-10-12,0,155,110,0,0,0,952,9
bo.wlie,2025-10-12,0,88,16,94,13830,71,0,0
Mango Blade,2025-10-12,0,130,120,0,0,0,627,9
ZACKO,2025-10-12,0,7,0,0,0,0,504,21
ARANDA,2025-10-12,0,104,12,0,0,0,1173,34
Casa 24Beats,2025-10-12,0,0,N/A,18,6010,132,0,0
Discord Server,2025-10-12,0,63,20,0,0,0,0,0
Casa 24,2025-10-13,3,367,633,622,29294,94,1702,578
Chef Lino,2025-10-13,2,262,298,15,238,5,1332,5
PYRO,2025-10-13,0,155,112,0,0,0,951,9
bo.wlie,2025-10-13,0,88,15,94,13831,71,0,0
Mango Blade,2025-10-13,0,153,124,0,0,0,627,9
ZACKO,2025-10-13,0,7,0,0,0,0,504,21
ARANDA,2025-10-13,0,104,11,0,0,0,1174,34
Casa 24Beats,2025-10-13,0,0,N/A,18,6024,132,0,0
Discord Server,2025-10-13,0,63,18,0,0,0,0,0
Casa 24,2025-10-14,3,453,912,622,29296,94,1699,578
Chef Lino,2025-10-14,2,262,294,15,239,6,1331,5
PYRO,2025-10-14,0,155,115,0,0,0,950,9
bo.wlie,2025-10-14,0,88,16,94,13831,71,0,0
Mango Blade,2025-10-14,0,236,235,0,0,0,628,9
ZACKO,2025-10-14,0,7,0,0,0,0,504,21
ARANDA,2025-10-14,0,104,11,0,0,0,1174,34
Casa 24Beats,2025-10-14,0,0,N/A,18,6135,134,0,0
Discord Server,2025-10-14,0,64,20,0,0,0,0,0
Casa 24,2025-10-15,2,523,978,622,29300,94,1700,578
Chef Lino,2025-10-15,2,262,290,17,287,6,1331,5
PYRO,2025-10-15,0,155,116,0,0,0,949,9
bo.wlie,2025-10-15,0,88,15,94,13833,71,0,0
Mango Blade,2025-10-15,0,284,513,0,0,0,628,9
ZACKO,2025-10-15,0,7,0,0,0,0,504,21
ARANDA,2025-10-15,0,104,10,0,0,0,1175,34
Casa 24Beats,2025-10-15,0,0,N/A,18,6682,136,0,0
Discord Server,2025-10-15,0,64,18,0,0,0,0,0
Casa 24,2025-10-16,2,523,974,622,29303,94,1700,578
Chef Lino,2025-10-16,2,262,290,17,327,6,1332,5
PYRO,2025-10-16,0,155,117,0,0,0,949,9
bo.wlie,2025-10-16,0,88,15,94,13833,71,0,0
Mango Blade,2025-10-16,0,284,512,0,0,0,629,9
ZACKO,2025-10-16,0,7,0,0,0,0,504,21
ARANDA,2025-10-16,0,104,11,0,0,0,1174,34
Casa 24Beats,2025-10-16,0,0,N/A,18,6702,138,0,0
Discord Server,2025-10-16,0,64,16,0,0,0,0,0
Casa 24,2025-10-17,3,523,976,623,29304,94,1699,578
Chef Lino,2025-10-17,2,262,293,18,352,6,1332,5
PYRO,2025-10-17,0,155,117,0,0,0,948,9
bo.wlie,2025-10-17,0,88,16,94,13833,71,0,0
Mango Blade,2025-10-17,0,284,511,0,0,0,629,9
ZACKO,2025-10-17,0,7,0,0,0,0,505,21
ARANDA,2025-10-17,0,104,11,0,0,0,1174,34
Casa 24Beats,2025-10-17,0,0,N/A,18,6748,140,0,0
Discord Server,2025-10-17,0,64,16,0,0,0,0,0
Casa 24,2025-10-19,0,0,N/A,0,0,0,0,0
Chef Lino,2025-10-19,0,0,N/A,0,0,0,0,0
PYRO,2025-10-19,0,0,N/A,0,0,0,0,0
bo.wlie,2025-10-19,0,0,N/A,0,0,0,0,0
Mango Blade,2025-10-19,0,0,N/A,0,0,0,0,0
ZACKO,2025-10-19,0,0,N/A,0,0,0,0,0
ARANDA,2025-10-19,0,0,N/A,0,0,0,0,0
Casa 24Beats,2025-10-19,0,0,N/A,0,0,0,0,0
Casa 24,2025-10-20,0,0,N/A,0,0,0,0,0
Chef Lino,2025-10-20,0,0,N/A,0,0,0,0,0
PYRO,2025-10-20,0,0,N/A,0,0,0,0,0
bo.wlie,2025-10-20,0,0,N/A,0,0,0,0,0
Mango Blade,2025-10-20,0,0,N/A,0,0,0,0,0
ZACKO,2025-10-20,0,0,N/A,0,0,0,0,0
ARANDA,2025-10-20,0,0,N/A,0,0,0,0,0
Casa 24Beats,2025-10-20,0,0,N/A,0,0,0,0,0
Casa 24,2025-10-21,0,0,N/A,0,0,0,0,0
Chef Lino,2025-10-21,0,0,N/A,0,0,0,0,0
PYRO,2025-10-21,0,0,N/A,0,0,0,0,0
bo.wlie,2025-10-21,0,0,N/A,0,0,0,0,0
Mango Blade,2025-10-21,0,0,N/A,0,0,0,0,0
ZACKO,2025-10-21,0,0,N/A,0,0,0,0,0
ARANDA,2025-10-21,0,0,N/A,0,0,0,0,0
Casa 24Beats,2025-10-21,0,0,N/A,0,0,0,0,0
Casa 24,2025-10-22,2,523,978,622,29320,94,1697,578
Chef Lino,2025-10-22,2,262,307,18,362,6,1331,5
PYRO,2025-10-22,0,155,113,0,0,0,947,9
bo.wlie,2025-10-22,0,88,15,94,13836,71,0,0
Mango Blade,2025-10-22,0,284,503,0,0,0,628,9
ZACKO,2025-10-22,0,7,0,0,0,0,502,21
ARANDA,2025-10-22,0,103,15,0,0,0,1175,34
Casa 24Beats,2025-10-22,0,0,N/A,18,7218,146,0,0
Discord Server,2025-10-22,0,64,18,0,0,0,0,0
Casa 24,2025-10-22,0,0,N/A,0,0,0,0,0
Chef Lino,2025-10-22,0,0,N/A,0,0,0,0,0
PYRO,2025-10-22,0,0,N/A,0,0,0,0,0
bo.wlie,2025-10-22,0,0,N/A,0,0,0,0,0
Mango Blade,2025-10-22,0,0,N/A,0,0,0,0,0
ZACKO,2025-10-22,0,0,N/A,0,0,0,0,0
ARANDA,2025-10-22,0,0,N/A,0,0,0,0,0
Casa 24Beats,2025-10-22,0,0,N/A,0,0,0,0,0
Casa 24,2025-10-22,2,523,978,622,29320,94,1697,578
Chef Lino,2025-10-22,2,262,307,18,363,6,1331,5
PYRO,2025-10-22,0,155,113,0,0,0,947,9
bo.wlie,2025-10-22,0,88,15,94,13836,71,0,0
Mango Blade,2025-10-22,0,284,503,0,0,0,628,9
ZACKO,2025-10-22,0,8,0,0,0,0,502,21
ARANDA,2025-10-22,0,103,15,0,0,0,1175,34
Casa 24Beats,2025-10-22,0,0,N/A,18,7436,146,0,0
Discord Server,2025-10-22,0,64,13,0,0,0,0,0
